ID,regulation,region,category,requirement,complianceStatus,deadline,riskLevel,actions,responsible,createdAt,modifiedAt
1,EU Single-Use Plastics Directive,Europe,Packaging,"Ban on certain single-use plastics, deposit return systems",Compliant,2024-07-03,Medium,"Implement alternative materials, establish DRS partnerships",Packaging Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
2,Packaging and Packaging Waste Directive,Europe,Packaging,"90% collection rate for plastic bottles, 30% recycled content",InProgress,2025-12-31,High,"Increase collection infrastructure, secure recycled content supply",Sustainability Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
3,Extended Producer Responsibility,Europe,Packaging,"Producer responsibility for packaging waste, financial contributions",Compliant,2024-12-31,Low,"Maintain EPR scheme participation, monitor fee structures",Legal Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
4,TCFD Reporting Requirements,Global,Climate,"Climate risk disclosure, scenario analysis",Compliant,2024-12-31,Medium,"Annual TCFD report publication, risk assessment updates",Finance Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
5,Science Based Targets Initiative,Global,Climate,"1.5Â°C aligned targets, annual progress reporting",Compliant,2025-12-31,Low,"Maintain SBTi commitment, annual progress reporting",Sustainability Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
6,Plastic Waste Management Rules,Asia Pacific,Packaging,"Plastic waste collection targets, recycling mandates",InProgress,2025-06-30,High,"Develop collection partnerships, increase recycling capacity",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
7,Carbon Pricing Mechanisms,Asia Pacific,Climate,"Carbon tax or ETS participation, emission reporting",InProgress,2026-01-01,High,"Prepare for carbon pricing, implement monitoring systems",Finance Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
8,EU Taxonomy Regulation,Europe,Finance,"Sustainable activity classification, disclosure requirements",InProgress,2024-12-31,Medium,"Assess taxonomy alignment, prepare disclosure reports",Finance Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
9,Corporate Sustainability Reporting Directive,Europe,Reporting,"Mandatory sustainability reporting, assurance requirements",InProgress,2025-01-01,High,"Implement CSRD reporting framework, secure assurance provider",Legal Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
10,Circular Economy Action Plan,Europe,Packaging,"Design for circularity, waste prevention measures",Compliant,2024-12-31,Low,"Continue circular design initiatives, monitor regulatory updates",R&D Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
11,Waste Framework Directive,Europe,Waste,"Waste hierarchy compliance, separate collection requirements",Compliant,2024-12-31,Low,"Maintain waste management practices, monitor collection rates",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
12,Green Claims Directive,Europe,Marketing,"Substantiation of environmental claims, verification requirements",InProgress,2025-06-30,Medium,"Review marketing claims, implement verification processes",Marketing Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
13,Deforestation Regulation,Global,Supply Chain,"Due diligence for forest-risk commodities, traceability requirements",InProgress,2024-12-30,High,"Implement supply chain traceability, conduct due diligence",Supply Chain Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
14,Right to Repair Directive,Europe,Product,"Repairability requirements, spare parts availability",NotApplicable,2025-03-01,Low,"Monitor applicability to packaging, assess impact",R&D Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
15,Digital Product Passport,Europe,Product,"Digital information requirements, traceability systems",InProgress,2026-01-01,Medium,"Develop digital passport system, ensure data compliance",IT Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
16,Methane Emissions Regulation,Global,Climate,"Methane emission monitoring, reduction requirements",Compliant,2024-12-31,Low,"Continue methane monitoring, implement reduction measures",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
17,Water Framework Directive,Europe,Water,"Water quality standards, pollution prevention",Compliant,2024-12-31,Low,"Maintain water quality monitoring, prevent pollution incidents",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
18,Renewable Energy Directive,Europe,Energy,"Renewable energy targets, sustainability criteria",InProgress,2025-12-31,Medium,"Increase renewable energy procurement, meet sustainability criteria",Energy Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
19,Energy Efficiency Directive,Europe,Energy,"Energy efficiency improvements, management systems",Compliant,2024-12-31,Low,"Maintain energy management systems, continue efficiency improvements",Energy Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
20,Chemicals Strategy for Sustainability,Europe,Chemicals,"Chemical safety assessments, substitution requirements",InProgress,2025-12-31,Medium,"Assess chemical usage, identify substitution opportunities",R&D Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
21,Biodiversity Strategy,Global,Environment,"Biodiversity impact assessments, conservation measures",InProgress,2025-12-31,Medium,"Conduct biodiversity assessments, implement conservation programs",Sustainability Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
22,Soil Strategy,Europe,Environment,"Soil protection measures, contamination prevention",Compliant,2024-12-31,Low,"Maintain soil protection practices, prevent contamination",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
23,Zero Pollution Action Plan,Europe,Environment,"Pollution prevention, monitoring requirements",Compliant,2024-12-31,Low,"Continue pollution prevention measures, maintain monitoring systems",Operations Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
24,Sustainable Finance Disclosure Regulation,Europe,Finance,"ESG disclosure requirements, taxonomy alignment",InProgress,2024-12-31,Medium,"Enhance ESG disclosures, assess taxonomy alignment",Finance Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
25,Due Diligence Directive,Europe,Supply Chain,"Human rights and environmental due diligence",InProgress,2025-12-31,High,"Implement due diligence framework, assess supply chain risks",Legal Team,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
